Country	Region
Bangladesh	South Asia
Benin	Western Africa
Burkina Faso	Western Africa
Cambodia	Southeast Asia
Cameroon	Western Africa
Colombia	South America
Cote d'Ivoire	Western Africa
Democratic Republic of the Congo	Central Africa
Ethiopia	Eastern Africa
Gabon	Central Africa
Gambia	Western Africa
Ghana	Western Africa
Guinea	Western Africa
India	
Indonesia	Southeast Asia
Kenya	Eastern Africa
Laos	Southeast Asia
Madagascar	Eastern Africa
Malawi	Eastern Africa
Mali	Western Africa
Mauritania	Western Africa
Mozambique	
Myanmar	Southeast Asia
Nigeria	Western Africa
Papua New Guinea	
Peru	South America
Senegal	Western Africa
Sudan	
Tanzania	Eastern Africa
Thailand	Southeast Asia
Uganda	Eastern Africa
Venezuela	South America
Vietnam	Southeast Asia
